Hostname,Graphana Host String,,,CPU,MEMORY,LATENCY,RX/TX
N77c7710.di1-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N77c7710.di1-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,10,,,,
N77c7710.di2-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N77c7710.di2-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,6,,,,
N77c7710.qdc-c-di01-admin__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N77c7710.qdc-c-di01-admin__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,4,,,,
N77c7710.qdc-c-di02-admin__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N77c7710.qdc-c-di02-admin__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,4,,,,
N77c7710.sc1-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N77c7710.sc1-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,9,,,,
N77c7710.sc2-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N77c7710.sc2-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,3,,,,
N9KC9372PX.qcy-iae-di1__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N9KC9372PX.qcy-iae-di1__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,8,,,,
N9KC9372PX.qcy-iae-di2__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N9KC9372PX.qcy-iae-di2__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,6,,,,
N9KC9372PX.qcy-iae-sc1__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N9KC9372PX.qcy-iae-sc1__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,2,,,,
N9KC9372PX.qcy-iae-sc2__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N9KC9372PX.qcy-iae-sc2__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,8,,,,
m9513.qyfcsw02a_corp_intuit_net ,collectd.network.QCY-C.nx-os.m9513.qyfcsw02a_corp_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,78,,,,
m9513.qyfcsw02b_corp_intuit_net ,collectd.network.QCY-C.nx-os.m9513.qyfcsw02b_corp_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,76,,,,
Ingrian.nc-qpr-gen-enc1-gb1_corp_intuit_net,collectd.network.QCY-C.nae.Ingrian.nc-qpr-gen-enc1-gb1_corp_intuit_net.snmp.nae_naeSystemStatCPU,6/20/16 14:20,19,,,,
Ingrian.nc-qpr-gen-enc2-gb1_corp_intuit_net,collectd.network.QCY-C.nae.Ingrian.nc-qpr-gen-enc2-gb1_corp_intuit_net.snmp.nae_naeSystemStatCPU,6/20/16 14:20,26,,,,
Ingrian.nc-qpr-gen-enc3-gb1_corp_intuit_net,collectd.network.QCY-C.nae.Ingrian.nc-qpr-gen-enc3-gb1_corp_intuit_net.snmp.nae_naeSystemStatCPU,6/20/16 14:20,100,,,,
Ingrian.nc-qpr-gen-enc4-gb1_corp_intuit_net,collectd.network.QCY-C.nae.Ingrian.nc-qpr-gen-enc4-gb1_corp_intuit_net.snmp.nae_naeSystemStatCPU,6/20/16 14:20,100,,,,
N5kC5596Up.qdc-pl01-rtr01__lo222_dcnet_intuit_net ,collectd.network.QCY-D.nx-os.N5kC5596Up.qdc-pl01-rtr01__lo222_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,12,,,,
N5kC5596Up.qdc-pl01-rtr02__lo222_dcnet_intuit_net ,collectd.network.QCY-D.nx-os.N5kC5596Up.qdc-pl01-rtr02__lo222_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,59,,,,
N5kC5596Up.qdc-sl01-rtr01__lo222_dcnet_intuit_net ,collectd.network.QCY-D.nx-os.N5kC5596Up.qdc-sl01-rtr01__lo222_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5596Up.qdc-sl01-rtr02__lo222_dcnet_intuit_net ,collectd.network.QCY-D.nx-os.N5kC5596Up.qdc-sl01-rtr02__lo222_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N7Kc7010.qdc-spn-rtr01__lo200_dcnet_intuit_net ,collectd.network.QCY-D.nx-os.N7Kc7010.qdc-spn-rtr01__lo200_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N7Kc7010.qdc-spn-rtr02__lo200_dcnet_intuit_net ,collectd.network.QCY-D.nx-os.N7Kc7010.qdc-spn-rtr02__lo200_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
1410.qdc-e-acib01__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.1410.qdc-e-acib01__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,3,,,,
1410.qdc-e-acib02__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.1410.qdc-e-acib02__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
1410.qdc-e-acib03__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.1410.qdc-e-acib03__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
1410.qdc-e-acib04__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.1410.qdc-e-acib04__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
1410.qdc-e-acst01__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.1410.qdc-e-acst01__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
1410.qdc-e-acst02__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.1410.qdc-e-acst02__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N6kC600164T.qdc-e-accmp001__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp001__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N6kC600164T.qdc-e-accmp002__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp002__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N6kC600164T.qdc-e-accmp003__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp003__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,1,,,,
N6kC600164T.qdc-e-accmp004__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp004__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N6kC600164T.qdc-e-accmp005__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp005__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,1,,,,
N6kC600164T.qdc-e-accmp006__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp006__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N6kC600164T.qdc-e-accmp007__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp007__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,3,,,,
N6kC600164T.qdc-e-accmp008__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp008__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N6kC600164T.qdc-e-accmp009__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp009__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,4,,,,
N6kC600164T.qdc-e-accmp010__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp010__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N6kC600164T.qdc-e-accmp011__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp011__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N6kC600164T.qdc-e-accmp012__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp012__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N6kC600164T.qdc-e-accmp013__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp013__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N6kC600164T.qdc-e-accmp014__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp014__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N6kC600164T.qdc-e-accmp015__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp015__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,2,,,,
N6kC600164T.qdc-e-accmp016__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp016__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,3,,,,
N6kC600164T.qdc-e-accmp017__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp017__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N6kC600164T.qdc-e-accmp018__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp018__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,1,,,,
N6kC600164T.qdc-e-accmp019__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp019__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,4,,,,
N6kC600164T.qdc-e-accmp020__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp020__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N6kC600164T.qdc-e-accmp021__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp021__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N6kC600164T.qdc-e-accmp022__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp022__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,2,,,,
N6kC600164T.qdc-e-accmp023__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp023__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,1,,,,
N6kC600164T.qdc-e-accmp024__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp024__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,3,,,,
N6kC600164T.qdc-e-accmp025__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp025__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N6kC600164T.qdc-e-accmp026__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp026__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N6kC600164T.qdc-e-accmp027__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp027__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,2,,,,
N6kC600164T.qdc-e-accmp028__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp028__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,2,,,,
N6kC600164T.qdc-e-accmp029__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp029__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,1,,,,
N6kC600164T.qdc-e-accmp030__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp030__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N6kC600164T.qdc-e-accmp031__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp031__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,1,,,,
N6kC600164T.qdc-e-accmp032__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp032__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N6kC600164T.qdc-e-accmp033__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp033__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N6kC600164T.qdc-e-accmp034__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp034__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,1,,,,
N6kC600164T.qdc-e-accmp035__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp035__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,2,,,,
N6kC600164T.qdc-e-accmp036__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N6kC600164T.qdc-e-accmp036__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,3,,,,
N77c7710.qdc-e-di01__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N77c7710.qdc-e-di01__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,5,,,,
N77c7710.qdc-e-di02__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N77c7710.qdc-e-di02__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,10,,,,
N77c7710.qdc-e-sc01__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N77c7710.qdc-e-sc01__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,2,,,,
N77c7710.qdc-e-sc02__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N77c7710.qdc-e-sc02__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,4,,,,
N9KC9396TX.qdc-e-accmp037__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N9KC9396TX.qdc-e-accmp037__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,2,,,,
N9KC9396TX.qdc-e-accmp038__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N9KC9396TX.qdc-e-accmp038__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,5,,,,
N9KC9396TX.qdc-e-accmp039__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N9KC9396TX.qdc-e-accmp039__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,3,,,,
N9KC9396TX.qdc-e-accmp040__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N9KC9396TX.qdc-e-accmp040__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,2,,,,
N9KC9396TX.qdc-e-accmp045__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N9KC9396TX.qdc-e-accmp045__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,31,,,,
N9KC9396TX.qdc-e-accmp046__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N9KC9396TX.qdc-e-accmp046__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,28,,,,
N9KC9396TX.qdc-e-accmp047__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N9KC9396TX.qdc-e-accmp047__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,3,,,,
N9KC9396TX.qdc-e-accmp048__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N9KC9396TX.qdc-e-accmp048__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,7,,,,
N9KC9396TX.qdc-e-accmp049__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N9KC9396TX.qdc-e-accmp049__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,4,,,,
N9KC9396TX.qdc-e-accmp050__mgmt0_dcnet_intuit_net ,collectd.network.QCY-E.nx-os.N9KC9396TX.qdc-e-accmp050__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,10,,,,
3560E48TD.ib3560-e01-a-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.3560E48TD.ib3560-e01-a-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,40104316,,,,
37xxStack.cr1-ib-e1-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.37xxStack.cr1-ib-e1-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,61057512,,,,
37xxStack.cr1-ib-w1-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.37xxStack.cr1-ib-w1-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,2666568,,,,
37xxStack.pdu1-a-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.37xxStack.pdu1-a-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62903584,,,,
37xxStack.pdu2-a-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.37xxStack.pdu2-a-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62558860,,,,
37xxStack.pdu3-a-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.37xxStack.pdu3-a-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62520680,,,,
37xxStack.pdu4-a-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.37xxStack.pdu4-a-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62240520,,,,
37xxStack.pdu5-a-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.37xxStack.pdu5-a-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62219312,,,,
37xxStack.pdu6-a-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.37xxStack.pdu6-a-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62551064,,,,
37xxStack.pdu7-a-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.37xxStack.pdu7-a-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62824560,,,,
4948.ac5-pa-w1-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.4948.ac5-pa-w1-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,119662432,,,,
4948.ac7-pa-w1-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.4948.ac7-pa-w1-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,119320936,,,,
494810GE.ac1-pa-w1-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.494810GE.ac1-pa-w1-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,70720864,,,,
494810GE.ac13-w1-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.494810GE.ac13-w1-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,64331584,,,,
494810GE.ac14-w1-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.494810GE.ac14-w1-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,64353724,,,,
494810GE.ac2-pa-e1-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.494810GE.ac2-pa-e1-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,70378448,,,,
494810GE.ac3-pa-w1-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.494810GE.ac3-pa-w1-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,70664600,,,,
494810GE.ac4-pa-e1-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.494810GE.ac4-pa-e1-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,70572308,,,,
ASR1001.gnvhe-qcy-2__gi0_corp_intuit_net,collectd.network.QCY-A.ios-xe.ASR1001.gnvhe-qcy-2__gi0_corp_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,788682968,,,,
ASR1002.ifs-asr1-pa-qcy__gi0_prod_ifs_intuit_com,collectd.network.QCY-A.ios-xe.ASR1002.ifs-asr1-pa-qcy__gi0_prod_ifs_intuit_com.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,1393453512,,,,
ASR1002.ifs-asr2-pa-qcy__gi0_prod_ifs_intuit_com,collectd.network.QCY-A.ios-xe.ASR1002.ifs-asr2-pa-qcy__gi0_prod_ifs_intuit_com.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,1296373748,,,,
ASR1002.ipsec-rtr1-pa-qdc__gi0_dcnet_intuit_net,collectd.network.QCY-A.ios-xe.ASR1002.ipsec-rtr1-pa-qdc__gi0_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,1315809344,,,,
ASR1002.ipsec-rtr2-pa-qdc__gi0_dcnet_intuit_net,collectd.network.QCY-A.ios-xe.ASR1002.ipsec-rtr2-pa-qdc__gi0_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,1316050700,,,,
3560E48TD.ib3560-e01-a-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.3560E48TD.ib3560-e01-a-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,30312716,,,,
37xxStack.cr1-ib-e1-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.37xxStack.cr1-ib-e1-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,26769676,,,,
37xxStack.cr1-ib-w1-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.37xxStack.cr1-ib-w1-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,85160596,,,,
37xxStack.pdu1-a-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.37xxStack.pdu1-a-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,26992180,,,,
37xxStack.pdu2-a-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.37xxStack.pdu2-a-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,27336912,,,,
37xxStack.pdu3-a-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.37xxStack.pdu3-a-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,27375092,,,,
37xxStack.pdu4-a-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.37xxStack.pdu4-a-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,27655224,,,,
37xxStack.pdu5-a-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.37xxStack.pdu5-a-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,27676464,,,,
37xxStack.pdu6-a-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.37xxStack.pdu6-a-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,27344708,,,,
37xxStack.pdu7-a-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.37xxStack.pdu7-a-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,27071160,,,,
4948.ac5-pa-w1-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.4948.ac5-pa-w1-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,111053016,,,,
4948.ac7-pa-w1-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.4948.ac7-pa-w1-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,111394512,,,,
494810GE.ac1-pa-w1-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.494810GE.ac1-pa-w1-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,150783632,,,,
494810GE.ac13-w1-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.494810GE.ac13-w1-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,152102884,,,,
494810GE.ac14-w1-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.494810GE.ac14-w1-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,152080732,,,,
494810GE.ac2-pa-e1-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.494810GE.ac2-pa-e1-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,151126052,,,,
