Hostname,Graphana Host String,,,CPU,MEMORY,LATENCY,RX/TX
N7Kc7018.ac9-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N7Kc7018.ac9-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N7Kc7018.cr1-b-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N7Kc7018.cr1-b-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,7,,,,
N7Kc7018.cr1-f-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N7Kc7018.cr1-f-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,3,,,,
N7Kc7018.cr2-b-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N7Kc7018.cr2-b-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,5,,,,
N7Kc7018.cr2-f-w1-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-A.nx-os.N7Kc7018.cr2-f-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,1,,,,
m9513.qyfcsw01a_bos_intuit_net ,collectd.network.QCY-A.nx-os.m9513.qyfcsw01a_bos_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,65,,,,
m9513.qyfcsw01b_bos_intuit_net ,collectd.network.QCY-A.nx-os.m9513.qyfcsw01b_bos_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,66,,,,
S370.qypprdproxywa01_ie_intuit_net,collectd.network.QCY-A.ironport.S370.qypprdproxywa01_ie_intuit_net.snmp.ironport_cacheBusyCPUPct,6/20/16 14:20,20,,,,
S370.qypprdproxywa02_ie_intuit_net,collectd.network.QCY-A.ironport.S370.qypprdproxywa02_ie_intuit_net.snmp.ironport_cacheBusyCPUPct,6/20/16 14:20,9,,,,
S370.qypprdproxywa01_ie_intuit_net,collectd.network.QCY-A.ironport.S370.qypprdproxywa01_ie_intuit_net.snmp.ironport_perCentCPUUtilization,6/20/16 14:20,19,,,,
S370.qypprdproxywa02_ie_intuit_net,collectd.network.QCY-A.ironport.S370.qypprdproxywa02_ie_intuit_net.snmp.ironport_perCentCPUUtilization,6/20/16 14:20,8,,,,
N5kC5020pBf.ac1-agg-w2-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-B.nx-os.N5kC5020pBf.ac1-agg-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,4,,,,
N5kC5020pBf.ac11-ct-w2-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-B.nx-os.N5kC5020pBf.ac11-ct-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,8,,,,
N5kC5020pBf.ac2-agg-w2-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-B.nx-os.N5kC5020pBf.ac2-agg-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5020pBf.ac3-agg-w2-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-B.nx-os.N5kC5020pBf.ac3-agg-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,8,,,,
N5kC5020pBf.ac4-agg-w2-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-B.nx-os.N5kC5020pBf.ac4-agg-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5020pBf.ac5-agg-w2-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-B.nx-os.N5kC5020pBf.ac5-agg-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5020pBf.ac6-agg-w2-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-B.nx-os.N5kC5020pBf.ac6-agg-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5020pBf.ac7-agg-w2-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-B.nx-os.N5kC5020pBf.ac7-agg-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,8,,,,
N5kC5020pBf.ac8-agg-w2-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-B.nx-os.N5kC5020pBf.ac8-agg-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5596Up.ac10-agg-w2-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-B.nx-os.N5kC5596Up.ac10-agg-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5596Up.ac9-agg-w2-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-B.nx-os.N5kC5596Up.ac9-agg-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,5,,,,
N7Kc7018.di1-w2-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-B.nx-os.N7Kc7018.di1-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,4,,,,
N7Kc7018.di2-w2-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-B.nx-os.N7Kc7018.di2-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,14,,,,
N7Kc7018.di3-w2-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-B.nx-os.N7Kc7018.di3-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,4,,,,
N7Kc7018.di4-w2-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-B.nx-os.N7Kc7018.di4-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,4,,,,
N7Kc7018.sc1-w2-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-B.nx-os.N7Kc7018.sc1-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,2,,,,
N7Kc7018.sc2-w2-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-B.nx-os.N7Kc7018.sc2-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,16,,,,
N5kC5020pBf.ac1-storage-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5020pBf.ac1-storage-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5020pBf.ac10-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5020pBf.ac10-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5020pBf.ac10-storage-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5020pBf.ac10-storage-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,11,,,,
N5kC5020pBf.ac11-compute-bd-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5020pBf.ac11-compute-bd-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,20,,,,
N5kC5020pBf.ac12-compute-bd-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5020pBf.ac12-compute-bd-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,24,,,,
N5kC5020pBf.ac13-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5020pBf.ac13-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,15,,,,
N5kC5020pBf.ac14-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5020pBf.ac14-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,20,,,,
N5kC5020pBf.ac17-compute-bd-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5020pBf.ac17-compute-bd-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,4,,,,
N5kC5020pBf.ac18-compute-bd-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5020pBf.ac18-compute-bd-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,84,,,,
N5kC5020pBf.ac2-storage-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5020pBf.ac2-storage-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,4,,,,
